name	team	rush_att	rush_yds	rush_tds	rec_att	rec_yds	rec_tds	fumbles	fpts	pos
Jerricho Cotchery	CAR	0.0	1.1	0.0	43.2	537.3	3.0	0.3	71.0	WR
Ty Montgomery	GB	3.0	20.1	0.0	36.2	491.4	3.4	0.5	70.5	WR
Philly Brown	CAR	4.8	33.1	0.0	35.8	514.1	2.8	1.0	69.9	WR
Brian Hartline	CLE	0.0	0.0	0.0	39.2	543.4	2.2	0.3	67.0	WR
Dexter McCluster	TEN	45.0	184.0	1.0	40.0	362.0	1.0	0.0	66.6	WR
Robert Woods	BUF	0.0	0.1	0.0	37.6	476.2	3.1	0.8	64.7	WR
Nate Washington	HOU	0.0	0.0	0.0	33.4	491.0	2.4	0.4	62.6	WR
Cecil Shorts	HOU	0.0	0.0	0.0	39.0	496.0	2.2	1.0	60.9	WR
Tavon Austin	STL	18.9	155.5	0.4	34.4	337.4	1.6	0.3	60.6	WR
Leonard Hankerson	ATL	0.0	0.0	0.0	33.6	417.1	3.1	0.3	59.8	WR
Mohamed Sanu	CIN	4.6	30.7	0.1	33.4	404.1	2.7	0.2	59.5	WR
Reggie Wayne	NE	0.0	0.0	0.0	36.0	444.7	2.2	0.5	56.8	WR
Donte Moncrief	IND	2.5	15.9	0.0	28.5	390.3	2.7	0.3	56.4	WR
Marqise Lee	JAC	0.5	1.8	0.0	38.4	458.6	1.8	0.4	56.2	WR
Taylor Gabriel	CLE	1.3	10.8	0.0	29.3	430.3	2.0	0.2	55.8	WR
Tyler Lockett	SEA	1.1	7.4	0.0	28.8	408.1	2.3	0.4	54.5	WR
Harry Douglas	TEN	0.0	0.0	0.0	35.4	431.3	2.0	0.4	54.4	WR
Andre Roberts	WAS	1.3	6.9	0.0	34.5	434.7	2.2	1.4	54.3	WR
Phillip Dorsett	IND	2.0	12.9	0.0	29.0	384.4	2.6	0.5	54.3	WR
Jarius Wright	MIN	2.5	16.6	0.0	29.5	385.0	2.2	0.2	53.0	WR
Devin Smith	NYJ	0.9	5.6	0.0	27.6	383.9	2.4	0.5	52.5	WR
Jeff Janis	GB	0.0	0.0	0.0	26.5	373.2	2.5	0.4	51.7	WR
Rod Streater	OAK	0.0	0.1	0.0	28.9	392.3	2.2	0.6	51.2	WR
Danny Amendola	NE	0.1	0.1	0.0	35.3	367.4	2.4	0.3	50.3	WR
Kamar Aiken	BAL	0.0	0.0	0.0	27.5	355.2	2.5	0.4	49.8	WR
Riley Cooper	PHI	0.0	0.0	0.0	27.0	363.1	2.3	0.6	48.9	WR
Andre Holmes	OAK	0.0	0.0	0.0	23.0	357.2	2.1	0.2	47.7	WR
Chris Conley	KC	0.0	0.0	0.0	29.0	359.5	2.1	0.4	47.6	WR
Cordarrelle Patterson	MIN	8.2	63.9	0.3	24.9	301.3	1.5	0.7	45.6	WR
Jaelen Strong	HOU	0.0	0.0	0.0	26.0	349.1	1.8	0.5	44.9	WR
Albert Wilson	KC	0.0	0.0	0.0	26.0	342.7	1.7	0.3	44.1	WR
Louis Murphy	TB	0.0	0.0	0.0	27.1	345.0	1.8	0.6	43.8	WR
Dorial Green-Beckham	TEN	0.0	0.0	0.0	23.3	315.7	2.0	0.2	43.2	WR
DeAnthony Thomas	KC	15.0	90.9	0.2	27.9	230.2	1.8	0.4	43.1	WR
Nick Toon	NO	0.0	0.0	0.0	21.1	318.5	1.9	0.2	43.0	WR
Hakeem Nicks	TEN	0.0	0.0	0.0	25.8	330.1	1.6	0.2	42.4	WR
Stedman Bailey	STL	0.1	0.7	0.0	25.3	331.0	1.6	0.2	42.2	WR
Marquess Wilson	CHI	0.0	0.0	0.0	27.1	314.0	1.8	0.3	41.6	WR
Justin Hunter	TEN	0.0	0.0	0.0	18.9	310.6	1.6	0.2	40.3	WR
Kevin White	CHI	0.0	0.0	0.0	21.7	299.3	1.6	0.3	38.7	WR
Justin Hardy	ATL	0.0	0.0	0.0	21.7	273.9	1.5	0.2	36.0	WR
Jeremy Kerley	NYJ	1.3	8.0	0.0	20.8	259.2	1.6	0.2	35.8	WR
Ted Ginn	CAR	3.2	20.2	0.0	18.4	263.9	1.5	1.3	34.7	WR
Marlon Brown	BAL	0.0	0.1	0.0	20.7	250.1	1.6	0.2	34.0	WR
Quinton Patton	SF	1.2	7.5	0.0	20.7	264.4	1.1	1.3	31.3	WR
Devin Hester	ATL	3.0	18.9	0.1	19.4	248.6	1.0	1.0	31.0	WR
Quincy Enunwa	NYJ	0.0	0.0	0.0	18.6	232.4	1.3	0.2	30.8	WR
Ryan Grant	WAS	0.0	0.0	0.0	16.1	237.4	1.1	0.3	29.7	WR
Corey Fuller	DET	1.3	8.8	0.0	16.7	240.6	1.2	1.4	29.5	WR
Josh Huff	PHI	0.4	1.3	0.0	17.7	236.1	1.2	2.0	27.0	WR
Jason Avant	KC	0.2	0.3	0.0	20.4	214.4	0.8	0.2	25.8	WR
